epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2415,1.43093,3.20391,1.32539,0.05844,0.53131,0.10101,0.06907,1.33111,3.15475,1.06884,0.00014,0.00014,0.00014
2,96.1457,1.3413,2.59349,1.14654,0.074,0.67273,0.23806,0.12095,1.43589,3.08235,1.06854,0.00029406,0.00029406,0.00029406
3,149.808,1.45342,2.00057,1.13067,0.07244,0.65859,0.2332,0.13386,1.3664,3.05794,1.05722,0.000441784,0.000441784,0.000441784
4,196.709,1.38799,1.6752,1.10701,0.08978,0.81616,0.24178,0.14795,1.33978,2.86046,1.01968,0.000583172,0.000583172,0.000583172
5,244.628,1.3127,1.22199,1.1041,0.12373,0.51145,0.26762,0.16453,1.41578,2.80294,1.0554,0.000718224,0.000718224,0.000718224
6,290.358,1.3274,1.02256,1.11443,0.77452,0.13131,0.27262,0.14968,1.42637,2.74325,1.11024,0.00084694,0.00084694,0.00084694
7,335.447,1.24963,0.94872,1.10768,0.7086,0.24562,0.34716,0.20076,1.44999,2.38579,1.09294,0.00096932,0.00096932,0.00096932
8,383.918,1.23624,0.95038,1.09747,0.7124,0.35354,0.54228,0.29409,1.50288,1.96326,1.11873,0.00108536,0.00108536,0.00108536
9,433.638,1.32242,0.91048,1.10484,0.75066,0.69945,0.75319,0.44402,1.35006,1.49928,1.06085,0.00119507,0.00119507,0.00119507
10,481.243,1.25719,0.89047,1.08548,0.76774,0.68781,0.75967,0.43674,1.37903,1.45914,1.0675,0.00129844,0.00129844,0.00129844
11,528.355,1.20226,0.87129,1.07791,0.7408,0.72121,0.764,0.44659,1.39706,1.2488,1.09625,0.00139548,0.00139548,0.00139548
12,578.536,1.17953,0.82493,1.05879,0.70654,0.74545,0.78029,0.45521,1.35184,1.12635,1.08765,0.00148618,0.00148618,0.00148618
13,624.917,1.2048,0.80295,1.04868,0.79096,0.76364,0.82789,0.47327,1.43357,1.04238,1.1237,0.0015248,0.0015248,0.0015248
14,674.066,1.21802,0.83105,1.06462,0.79566,0.75152,0.82721,0.48357,1.39066,1.04304,1.11085,0.0014852,0.0014852,0.0014852
15,722.132,1.19615,0.83064,1.05043,0.84612,0.75538,0.85963,0.50726,1.35491,0.97814,1.09442,0.0014456,0.0014456,0.0014456
16,769.07,1.18552,0.79063,1.0414,0.83627,0.73535,0.84977,0.49762,1.34259,0.94307,1.07115,0.001406,0.001406,0.001406
17,815.093,1.12035,0.78239,1.02813,0.81626,0.81669,0.87398,0.534,1.29083,0.84522,1.06133,0.0013664,0.0013664,0.0013664
18,859.784,1.15737,0.77182,1.03906,0.86293,0.77576,0.8679,0.53119,1.29232,0.85548,1.06102,0.0013268,0.0013268,0.0013268
19,902.728,1.12392,0.73597,1.04025,0.87101,0.7776,0.88366,0.54472,1.2581,0.83532,1.04531,0.0012872,0.0012872,0.0012872
20,948.945,1.12702,0.74334,1.02874,0.85964,0.77778,0.87089,0.52108,1.26637,0.84208,1.04697,0.0012476,0.0012476,0.0012476
21,995.383,1.13385,0.74466,1.01818,0.89243,0.77172,0.88368,0.53167,1.26607,0.8384,1.04514,0.001208,0.001208,0.001208
22,1042.36,1.16111,0.74542,1.02988,0.86894,0.76344,0.85111,0.49851,1.35904,0.83552,1.07955,0.0011684,0.0011684,0.0011684
23,1089.1,1.125,0.74971,1.03462,0.90286,0.79596,0.89597,0.57373,1.23976,0.77466,1.043,0.0011288,0.0011288,0.0011288
24,1137.54,1.14352,0.73511,1.04035,0.8675,0.83327,0.90014,0.56093,1.23524,0.75884,1.03214,0.0010892,0.0010892,0.0010892
25,1181.54,1.08509,0.69409,1.00709,0.85855,0.80928,0.88949,0.55496,1.25085,0.77534,1.03541,0.0010496,0.0010496,0.0010496
26,1230.13,1.10391,0.70655,1.01946,0.88108,0.80827,0.91091,0.57869,1.21784,0.73881,1.02834,0.00101,0.00101,0.00101
27,1274.82,1.11612,0.69801,1.01798,0.86014,0.79514,0.88749,0.54794,1.27119,0.77165,1.04633,0.0009704,0.0009704,0.0009704
28,1320.64,1.09248,0.69445,1.0079,0.89703,0.81414,0.91507,0.58478,1.209,0.71431,1.02674,0.0009308,0.0009308,0.0009308
29,1372,1.11657,0.69002,1.01733,0.88054,0.8404,0.91815,0.58666,1.20825,0.71559,1.02194,0.0008912,0.0008912,0.0008912
30,1423.97,1.07419,0.6686,1.00054,0.87657,0.82828,0.91054,0.57009,1.22282,0.73115,1.02464,0.0008516,0.0008516,0.0008516
31,1472.97,1.06365,0.68047,1.01104,0.91923,0.80808,0.91945,0.58794,1.23126,0.71032,1.03707,0.000812,0.000812,0.000812
32,1523.95,1.07067,0.6541,1.00901,0.89402,0.81803,0.91366,0.58453,1.22135,0.71152,1.02735,0.0007724,0.0007724,0.0007724
33,1570.51,1.06845,0.65648,1.00243,0.88098,0.82245,0.91861,0.5801,1.21417,0.71862,1.02533,0.0007328,0.0007328,0.0007328
34,1612.24,1.04411,0.65104,1.00632,0.88491,0.83881,0.91641,0.58615,1.19581,0.70617,1.01786,0.0006932,0.0006932,0.0006932
35,1660.82,1.00982,0.64002,0.99492,0.88033,0.84646,0.91869,0.58168,1.19884,0.7136,1.01513,0.0006536,0.0006536,0.0006536
36,1706.46,1.00971,0.62683,0.98034,0.90696,0.82708,0.92232,0.58372,1.2014,0.68479,1.02039,0.000614,0.000614,0.000614
37,1753.42,1.05388,0.62928,0.98789,0.87465,0.84242,0.91743,0.58588,1.19618,0.68136,1.01934,0.0005744,0.0005744,0.0005744
38,1803.13,1.03732,0.64075,0.99932,0.86146,0.84165,0.9087,0.57541,1.19609,0.68295,1.01838,0.0005348,0.0005348,0.0005348
39,1848.76,1.0169,0.61276,0.97742,0.88752,0.83434,0.91483,0.56628,1.22995,0.68861,1.02764,0.0004952,0.0004952,0.0004952
40,1892.41,1.03058,0.6297,0.99687,0.87295,0.84242,0.92069,0.58315,1.20552,0.67573,1.02109,0.0004556,0.0004556,0.0004556
41,1934.05,1.00773,0.71586,0.9953,0.86965,0.80868,0.89769,0.55696,1.27353,0.72809,1.048,0.000416,0.000416,0.000416
42,1976.57,1.02372,0.66115,0.9888,0.87392,0.8303,0.90918,0.57666,1.20465,0.72623,1.02343,0.0003764,0.0003764,0.0003764
43,2021.68,0.99463,0.65435,0.96566,0.87864,0.83372,0.91071,0.58221,1.2138,0.73817,1.02081,0.0003368,0.0003368,0.0003368
44,2066.07,0.9959,0.62585,0.97468,0.88822,0.83479,0.91855,0.59426,1.18704,0.70567,1.01392,0.0002972,0.0002972,0.0002972
45,2116.55,0.98886,0.62642,0.9663,0.90457,0.8303,0.91849,0.59838,1.17855,0.6771,1.01469,0.0002576,0.0002576,0.0002576
46,2160.71,0.97504,0.61591,0.97444,0.89018,0.83232,0.91853,0.5964,1.17764,0.67211,1.01619,0.000218,0.000218,0.000218
47,2203.95,0.96392,0.60785,0.96432,0.90029,0.8208,0.92524,0.59472,1.1835,0.66968,1.01477,0.0001784,0.0001784,0.0001784
48,2248.67,0.95172,0.60452,0.9716,0.88958,0.84633,0.92496,0.59341,1.18398,0.66695,1.01215,0.0001388,0.0001388,0.0001388
49,2298.82,0.98574,0.61393,0.95889,0.88819,0.85051,0.92543,0.59241,1.18289,0.66413,1.0112,9.92e-05,9.92e-05,9.92e-05
50,2346.36,0.97667,0.62375,0.97508,0.88245,0.84926,0.9243,0.58896,1.18262,0.66197,1.01142,5.96e-05,5.96e-05,5.96e-05
